Gene	EAGLE Annotation	Current SFARI Score	Existing ClinGen curation	Concordance 	Definitive ClinGen Classification with ASD features 
EIF3G	Limited (score=1.5)	Score 1	NA	Discordant	NA
KDM3B	Limited (score=1.5)	Score 1S	"Definitive: Complex NDD (autosomal dominant) [Intellectual Disability and Autism GCEP, 09/17/2024]"	Discordant	NA
PPP1R9B	Limited (score=1.5)	Score 1	NA	Discordant	NA
RBM10	Limited (score=1.5)	No score provided	NA	Discordant	NA
ABCE1	Limited (score=1.4)	Score 1	NA	Discordant	NA
PACS1	Limited (score=1.35)	Score 1S	"Definitive: Schuurs-Hoeijmakers syndrome (autosomal dominant) [Intellectual Disability and Autism GCEP, 06/26/2020]"	Discordant	Yes
EPOR	Limited (score=1.3)	No score provided	NA	Discordant	NA
ARF3	Limited (score=1.25)	Score 1	NA	Discordant	NA
HDLBP	Limited (score=1.25)	Score 1	NA	Discordant	NA
LRRC4C	Limited (score=1.25)	Score 1	NA	Discordant	NA
KANSL1	Limited (score=1.1)	Score 1S	"Definitive: Koolen-de Vries syndrome (autosomal dominant) [Intellectual Disability and Autism GCEP, 02/18/2022]"	Discordant	Yes
PCDH11X	Limited (score=1.1)	Score 2	NA	Discordant	NA
ACTB	Limited (score=1)	Score 1S	"Definitive: Baraitser-Winter cerebrofrontofacial syndrome (autosomal dominant) [Brain Malformations GCEP, 10/26/2021]

Moderate: ACTB-associated syndromic thrombocytopenia (autosomal dominant) [Hemostasis Thrombosis GCEP, 05/25/2022]"	Discordant	No
HAPSTR1 (C16orf72)	Limited (score=1)	No score provided	NA	Discordant	NA
DPYSL2	Limited (score=1)	Score 1	NA	Discordant	NA
ELAVL3	Limited (score=1)	Score 1	NA	Discordant	NA
F12	Limited (score=1)	No score provided	"Definitive: Congenital Factor XII Deficiency (autosomal recessive) [Hemostasis Thrombosis GCEP, 01/22/2020]

Moderate: Hereditary Angioedema Type 3 (autosomal dominant) [Hemostasis Thrombosis GCEP, 05/25/2022]"	Discordant	No
POMGNT1	Limited (score=1)	Score 1S	"Strong: Myopathy caused by variation in POMGNT1 (autosomal recessive) [Limb Girdle Muscular Dystrophy GCEP, 06/21/2023]"	Discordant	No
PPP5C	Limited (score=1)	Score 1	NA	Discordant	NA
TBCK	Limited (score=1)	Score 1S	"Definitive: Syndromic complex NDD (autosomal recessive) [Intellectual Disability and Autism GCEP, 02/07/2024]"	Discordant	No
RTL9	Limited (score=0.85)	No score provided	NA	Discordant	NA
SOS2	Limited (score=0.85)	Score 1	Definitive: Noonan syndrome (autosomal dominant) [RASopathy GCEP; 08/27/2020]	Discordant	No
CORO1A	Limited (score=0.7)	Score 1	"Definitive: severe combined immunodeficiency due to CORO1A deficiency (autosomal recessive) [SCID-CID GCEP, 06/03/2022]"	Discordant	No
CDC42	Limited (score=0.5)	No score provided	"Definitive: macrothrombocytopenia-lymphedema-developmental delay-facial dysmorphism-camptodactyly syndrome (autosomal dominant) [Hemostasis Thrombosis GCEP, 10/27/2021]"	Discordant	No
MYO1C	Limited (score=0.5)	No score provided	"Disputed: Nonsyndromic genetic hearing loss (autosomal dominant) [Hearing Loss GCEP, 06/26/2018]

Disputed: Autosomal dominant nonsyndromic hearing loss (autosomal dominant) [Hearing Loss GCEP, 06/26/2018]"	Discordant	No
TM9SF4	Limited (score=0.5)	Score 1	NA	Discordant	NA
VEZF1	Limited (score=0.5)	Score 1	NA	Discordant	NA
FAM47A	Limited (score=0.45)	Score 2	NA	Discordant	NA
GRIN2C	Limited (score=0.4)	No score provided	NA	Discordant	NA
ADSL	Limited (score=0.35)	Score 1S	"Definitive: adenylosuccinate lyase deficiency (autosomal recessive) [Intellectual Disability and Autism GCEP, 09/07/2020]"	Discordant	Yes
GABRB2	Limited (score=0.3)	Score 1	Definitive: Complex NDD (autosomal dominant) [Intellectual Disability and Autism GCEP; 01/16/2024]	Discordant	NA
GFAP	Limited (score=0.3)	Score 1	"Definitive: Alexander disease (autosomal dominant) [Leukodystrophy and Leukoencephalopathy GCEP, 01/10/2024]"	Discordant	No
MKX	Limited (score=0.3)	Score 1	NA	Discordant	NA
SORCS1	Limited (score=0.25)	No score provided	NA	Discordant	NA
AP2S1	Limited (score=0.2)	Score 1	NA	Discordant	NA
ASB9	Limited (score=0.1)	No score provided	NA	Discordant	NA
HTR2C	Limited (score=0.1)	No score provided	NA	Discordant	NA
NUP155	Limited (score=0.1)	Score 1	NA	Discordant	NA
ASB11	No scorable evidence (score=0)	No score provided	NA	Concordant 	NA
FAM221A	No scorable evidence (score=0)	No score provided	NA	Concordant 	NA
GRAMD4	No scorable evidence (score=0)	No score provided	NA	Concordant 	NA
GRIN2D	No scorable evidence (score=0)	No score provided	"Definitive: Complex NDD (autosomal dominant) [Epilepsy GCEP, 03/15/2022]"	Concordant 	Yes
MAP1A	No scorable evidence (score=0)	Score 1	NA	Discordant 	NA
NDUFS3	No scorable evidence (score=0)	No score provided	"Moderate: Leigh syndrome (autosomal recessive) [Mitochondrial Diseases GCEP, 06/20/2019]"	Concordant 	No
NPIPA1	No scorable evidence (score=0)	No score provided	NA	Concordant 	NA
RAB4B	No scorable evidence (score=0)	No score provided	NA	Concordant 	NA
RPL34	No scorable evidence (score=0)	No score provided	NA	Concordant 	NA
UBE2G2	No scorable evidence (score=0)	No score provided	NA	Concordant 	NA
CNTNAP2	Refuted	Score 2S	"Definitive: Complex NDD (autosomal recessive) [Epilepsy GCEP, 06/15/2021]

Disputed: Complex NDD (autosomal dominant) [Intellectual Disability and Autism GCEP, 03/16/2021]"	Discordant 	Yes
