Gene	EAGLE Annotation	Current SFARI Score	Existing ClinGen curation	Concordance 	Definitive ClinGen Classification with ASD features 
NSD1	Definitive (score=22.9)	Score 1S	"Definitive: Sotos Syndrome (autosomal dominant) [Intellectual Disability and Autism GCEP, 10/26/2018]"	Concordant	Yes
ANKRD11	Definitive (score=22.6)	Score 1S	"Definitive: KBG syndrome (autosomal dominant) [Intellectual Disability and Autism GCEP, 11/26/2019]"	Concordant	Yes
MYT1L	Definitive (score=20.35)	Score 1	"Definitive: Syndromic intellectual disability (autosomal dominant) [Intellectual Disability and Autism GCEP, 08/18/2020]"	Concordant	Yes
DYRK1A	Definitive (score=20.2)	Score 1S	"Definitive: Complex NDD (autosomal dominant) [Intellectual Disability and Autism GCEP, 07/15/2020]"	Concordant	Yes
MARK2	Definitive (score=20.05)	Score 2	NA	Discordant	NA
STXBP1	Definitive (score=19.1)	Score 1S	"Definitive: Developmental and epileptic encephalopathy (autosomal dominant) [Epilepsy GCEP, 10/20/2017]"	Concordant	Yes
CIC	Definitive (score=18.7)	Score 1	NA	Concordant	NA
KMT2A	Definitive (score=18.55)	Score 1S	"Definitive: Wiedemann-Steiner syndrome (autosomal dominant) [Syndromic Disorders GCEP, 05/22/2022]"	Concordant	Yes
SHANK2	Definitive (score=18.55)	Score 1	"Definitive: Complex NDD (autosomal dominant) [Intellectual Disability and Autism GCEP, 07/17/2019]"	Concordant	Yes
UBR5	Definitive (score=18.45)	Score 2	NA	Discordant	NA
CUL3	Definitive (score=18.4)	Score 1	"Definitive: Complex NDD (autosomal dominant) [Intellectual Disability and Autism GCEP, 01/16/2021]

Definitive: Pseudohypoaldosteronism type 2E (autosomal dominant) [Tubulopathy GCEP, 12/01/2021]"	Concordant	Yes
DIP2A	Definitive (score=18.2)	Score 1	NA	Concordant	NA
SOX5	Definitive (score=17.6)	Score 1S	"Definitive: Lamb-Shaffer syndrome (autosomal dominant) [Intellectual Disability and Autism GCEP, 01/27/2022]"	Concordant	Yes
GIGYF1	Definitive (score=17.25)	Score 1	NA	Concordant	NA
WDFY3	Definitive (score=17.2)	Score 1	"Definitive: Syndromic intellectual disability (autosomal dominant) [Intellectual Disability and Autism GCEP, 01/19/2022]"	Concordant	Yes
TSC1	Definitive (score=17.1)	Score 1S	"Definitive: Tuberous Sclerosis Complex (autosomal dominant) [General Gene Curation GCEP, 01/23/2019]"	Concordant	Yes
RFX3	Definitive (score=15.95)	Score 1	"Definitive: Complex NDD (autosomal dominant) [Intellectual Disability and Autism GCEP, 04/03/2024]"	Concordant	NA
DNMT3A	Definitive (score=15.9)	Score 1S	"Definitive: Tatton-Brown-Rahman overgrowth syndrome (autosomal dominant) [Intellectual Disability and Autism GCEP, 06/08/2023]

Limited: Heyn-Sproul-Jackson syndrome (autosomal dominant) [Intellectual Disability and Autism GCEP, 06/08/2023]"	Concordant	Yes
CSDE1	Definitive (score=15.55)	Score 1S	"Definitive: Complex NDD (autosomal dominant) [Intellectual Disability and Autism GCEP, 11/21/2023]"	Concordant 	NA
NIPBL	Definitive (score=15.3)	Score 1S	"Definitive: Cornelia de Lange Syndrome (autosomal dominant) [Intellectual Disability and Autism GCEP, 06/28/2023]"	Concordant	Yes
WAC	Definitive (score=15)	Score 1S	"Definitive: DeSanto-Shinawi syndrome (autosomal dominant) [Intellectual Disability and Autism GCEP, 11/10/2022]"	Concordant	Yes
SHANK1	Definitive (score=14.65)	Score 2	"Definitive: Complex NDD (autosomal dominant) [Intellectual Disability and Autism GCEP, 03/20/2024]"	Discordant	NA
